Rk;Team;G;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Year
1;San Antonio Spurs*;82;2409;470;944;.498;6;25;.252;464;919;.505;247;308;.801;141;307;447;284;94;41;194;256;1194;1980
2;Los Angeles Lakers*;82;2424;475;899;.529;2;12;.200;473;886;.534;198;255;.775;132;324;456;294;94;67;200;218;1151;1980
3;Cleveland Cavaliers;82;2430;465;981;.474;4;23;.193;460;958;.481;208;269;.772;159;290;450;257;93;42;167;236;1141;1980
4;New York Knicks;82;2412;464;936;.496;5;23;.220;459;912;.503;207;277;.747;151;281;432;276;107;56;197;264;1140;1980
5;Boston Celtics*;82;2424;441;901;.490;20;51;.384;421;849;.496;233;299;.779;150;300;449;268;99;38;188;241;1135;1980
6;Indiana Pacers;82;2421;444;938;.473;11;38;.280;433;899;.481;214;285;.751;170;284;454;262;110;65;185;241;1112;1980
7;Phoenix Suns*;82;2409;435;882;.493;8;34;.243;427;848;.504;232;301;.773;131;300;430;278;111;42;199;226;1111;1980
8;Houston Rockets*;82;2430;439;914;.480;13;46;.274;426;868;.491;217;284;.766;170;270;440;262;95;45;191;235;1108;1980
9;Milwaukee Bucks*;82;2415;449;921;.488;6;19;.323;443;902;.491;196;256;.764;152;292;444;278;95;62;182;236;1101;1980
10;Philadelphia 76ers*;82;2421;430;873;.492;3;15;.216;426;857;.497;229;296;.772;145;321;466;271;97;80;208;227;1091;1980
11;Detroit Pistons;82;2412;444;926;.480;7;27;.260;437;900;.486;194;262;.740;150;295;444;238;95;69;212;252;1089;1980
12;Seattle SuperSonics*;82;2418;433;923;.470;7;23;.312;426;900;.474;211;275;.768;168;311;479;249;91;52;182;227;1085;1980
13;New Jersey Nets;82;2415;421;915;.461;10;36;.285;411;879;.468;230;293;.782;150;309;459;255;106;71;208;266;1083;1980
14;Denver Nuggets;82;2418;422;911;.463;10;31;.325;412;880;.468;228;310;.737;160;308;468;254;91;49;187;234;1083;1980
15;Kansas City Kings*;82;2415;437;913;.478;3;14;.219;434;899;.482;204;274;.743;145;296;441;259;105;43;175;260;1080;1980
16;San Diego Clippers;82;2409;430;914;.470;22;66;.326;408;848;.482;195;264;.736;158;281;439;206;81;35;176;231;1076;1980
17;Chicago Bulls;82;2427;410;847;.484;9;34;.255;401;813;.494;246;316;.779;136;301;437;262;86;48;205;262;1075;1980
18;Washington Bullets*;82;2424;436;951;.458;9;29;.307;427;922;.463;189;250;.758;163;332;495;268;65;54;168;231;1070;1980
19;Atlanta Hawks*;82;2412;398;857;.464;2;9;.173;396;848;.467;249;323;.771;167;293;460;233;95;66;182;280;1045;1980
20;Golden State Warriors;82;2424;430;892;.482;3;15;.223;427;878;.486;172;233;.738;141;297;438;247;95;41;182;254;1036;1980
21;Portland Trail Blazers*;82;2412;416;874;.476;3;16;.197;412;858;.481;190;256;.743;158;294;452;231;86;58;189;239;1025;1980
22;Utah Jazz;82;2415;412;831;.496;7;23;.319;405;809;.501;192;237;.809;118;288;406;245;80;44;188;245;1024;1980
